Address,Status,Price,Bed,Bath,Sqft
"8461 Eucalyptus Ave, California City, CA 93505",For Sale,215000,3,5,"1,489"
"20210 Canyon View Dr, Jackson, CA 95642",For Sale,215000,3,2,"1,056"
"12488 Oak St, Clearlake Oaks, CA 95423",For Sale,218000,2,1,848
"817 W Miner St, Yreka, CA 96097",Pending,219000,2,2,"1,215"
"8317 Fillmore Ave, Bakersfield, CA 93306",Contingent,219000,3,1,"1,040"
"217 E Magnolia Ave, Portola, CA 96122",Pending,219000,2,5,"1,131"
"14119 Villa Way, Clearlake, CA 95422",For Sale,219000,1,1,699
"805 Townsley Ave, Bakersfield, CA 93304",For Sale,219500,2,1,858
"2078 Poplar St, Rosamond, CA 93560",For Sale,219900,2,1,744
"16706 Merrill St, Victorville, CA 92395",For Sale,219900,2,1,825
"610 Belmont Ave, Bakersfield, CA 93308",For Sale,219990,2,1,"1,320"
"2578 Old State Hwy, Fortuna, CA 95540",For Sale,220000,1,1,782
"2416 E Hedges Ave, Fresno, CA 93703",Pending,220000,3,2,"1,174"
"13655 E Bulah Ave, Parlier, CA 93648",For Sale,220000,4,1,888
"1401 El Rancho Dr, Bakersfield, CA 93304",For Sale,220000,3,1,"1,001"
"803 E Mayberry Ave, Hemet, CA 92543",For Sale,220000,2,1,823
"12427 Geronimo Ave, Victorville, CA 92395",For Sale,220000,3,2,"1,144"
"3006 N Glenn Ave, Fresno, CA 93704",Pending,220000,2,1,949
"1130 7th Pl, Wasco, CA 93280",For Sale,220000,2,1,"1,326"
"19503 Taylor Rd, Strathmore, CA 93267",For Sale,224200,3,5,"1,036"
"120 H St, Parlier, CA 93648",For Sale,224900,2,1,691
"31616 Emerald Rd, Lucerne Valley, CA 92356",For Sale,224900,3,2,"1,620"
"460 Tierra Baja Way, Hemet, CA 92545",For Sale,224900,2,1,827
"6588 Juniper Ave, Twentynine Palms, CA 92277",For Sale,224990,3,1,"1,122"
"16164 Banner Quaker Hill Rd, Nevada City, CA 95959",For Sale,225000,1,1,400
"66 Round Cienega, Angelus Oaks, CA 92305",For Sale,225000,3,1,840
"111 0 Dahlia Ln, Imperial, CA 92251",For Sale,225000,3,2,"1,620"
"687-145 Spaulding Rd, Susanville, CA 96130",For Sale,225000,2,2,"1,672"
"4560 E Hamilton Ave, Fresno, CA 93702",For Sale,225000,2,1,748
"5021 Fournier, Mariposa, CA 95338",For Sale,225000,3,2,"1,548"
"54514 Redwood Dr, Sequoia Crest, CA 93265",For Sale,225000,2,1,768
"630 Pine Way, Chester, CA 96020",For Sale,225000,1,1,560
"2616 S Chester Ave, Bakersfield, CA 93304",Contingent,225000,2,1,962
"13204 Venus, Clearlake Oaks, CA 95423",For Sale,225000,2,2,960
"20515 Muskegon St, Burney, CA 96013",For Sale,225000,3,2,"1,400"
